Class name,Remarks,Group code,Class code,Whether or not detailed requirements are provided,,,,,,,
Washing machine,,0x03,0xC5,○,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
EPC,Property name,Contents of property,Value range(decimal notation),Unit,Data type,Data size,Access rule(Anno),Access rule(Set),Access rule(Get),Announcement at status change,Remark
0x80,Operation status,This  property  indicates  the  ON/OFF status.,"ON=0x30, OFF=0x31",-,unsigned char,1,-,optional,mandatory,mandatory,
0xB0,Door/cover open/close status,This property indicates whether the door/cover is open or closed.,Door/cover open = 0x41 Door/cover closed = 0x42,-,unsigned char,1,-,-,optional,-,
0xB2,Washing machine setting,Washing machine setting,Start/restart the washing cycle (started/restarted) = 0x41 Suspend the washing cycle (suspended) = 0x42 Stop the washing cycle (stopped) = 0x43,-,unsigned char,1,-,optional,optional,-,
0xE1,Current stage of washing cycle,This property indicates the current stage of the washing cycle.,"Washing = 0x41, rinsing = 0x42, spin drying = 0x43, suspended = 0x44, washing cycle stopped/completed = 0x45",-,unsigned char,1,-,-,optional,-,
0xE6,Time remaining to complete washing cycle,This property indicates the time remaining to complete the current washing cycle in the HH:MM:SS format.,0.0x17: 0.0x3B: 0.0x3B  (= 0.23): (= 0.59): (= 0.59),-,unsigned char × 3,3,-,-,optional,-,
0x90,ON timer reservation setting,Reservation ON/OFF,"Reservation ON = 0x41, reservation OFF = 0x42",-,unsigned char,1,-,optional,optional,-,
0x91,ON timer setting,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
0x92,Relative time-based ON timer setting,Timer value (HH:MM),0.0x17: 0.0x3B (= 0.23): (= 0.59),-,unsigned char × 2,2,-,optional,optional,-,
